nodes_per_instance,p,exponent,instance_connectivity,simpsons_index,reachability
equal,0.32,2.25,0.17812,0.23100,0.94907
equal,0.32,2.25,0.18000,0.22314,0.90843
equal,0.32,2.62,0.16174,0.19260,0.89687
equal,0.32,2.62,0.16967,0.21550,0.96139
equal,0.32,2.62,0.15906,0.20084,0.89888
equal,0.32,2.62,0.17049,0.23183,0.77609
equal,0.32,2.62,0.17129,0.22822,0.89655
equal,0.32,3.00,0.15611,0.18343,0.81528
equal,0.32,3.00,0.16463,0.21427,0.90402
equal,0.32,3.00,0.15066,0.17388,0.87533
equal,0.32,3.00,0.16082,0.20299,0.84541
equal,0.32,3.00,0.16373,0.21287,0.92371
equal,0.37,1.50,0.23614,0.33331,0.98647
equal,0.37,1.50,0.21872,0.31104,0.98610
equal,0.37,1.50,0.22262,0.31967,0.99728
equal,0.37,1.50,0.24832,0.36314,0.99721
equal,0.37,1.50,0.22926,0.32155,0.98676
equal,0.37,1.88,0.19277,0.26879,0.98562
equal,0.37,1.88,0.21595,0.29440,0.99715
equal,0.37,1.88,0.22923,0.32851,0.98574
equal,0.37,1.88,0.22629,0.30962,0.98578
equal,0.37,1.88,0.20657,0.28008,0.98578
equal,0.37,2.25,0.17438,0.22379,0.94162
equal,0.37,2.25,0.19778,0.27796,0.95921
equal,0.37,2.25,0.18723,0.25412,0.97287
equal,0.37,2.25,0.19655,0.29413,0.91731
equal,0.37,2.25,0.18707,0.26784,0.94717
equal,0.37,2.62,0.17608,0.24058,0.88105
equal,0.37,2.62,0.17554,0.23572,0.90183
equal,0.37,2.62,0.17055,0.22823,0.92710
equal,0.37,2.62,0.17664,0.23220,0.90709
equal,0.37,2.62,0.17539,0.23886,0.94108
equal,0.37,3.00,0.17890,0.24265,0.88980
equal,0.37,3.00,0.16733,0.20715,0.80760
equal,0.37,3.00,0.17085,0.22771,0.87871
equal,0.37,3.00,0.17857,0.26031,0.85946
equal,0.37,3.00,0.16937,0.23064,0.84827
equal,0.42,1.50,0.26603,0.39338,0.99726
equal,0.42,1.50,0.24718,0.36519,0.98665
equal,0.42,1.50,0.24772,0.35820,0.99732
equal,0.42,1.50,0.24063,0.33609,0.99736
equal,0.42,1.50,0.26351,0.38434,0.99730
equal,0.42,1.88,0.23175,0.34721,0.97512
equal,0.42,1.88,0.23542,0.34429,0.93295
equal,0.42,1.88,0.23933,0.35156,0.97491
equal,0.42,1.88,0.23483,0.33822,0.96386
equal,0.42,1.88,0.22161,0.32833,0.99712
equal,0.42,2.25,0.21515,0.32579,0.97295
equal,0.42,2.25,0.19009,0.26426,0.94814
equal,0.42,2.25,0.19265,0.27288,0.97149
equal,0.42,2.25,0.23056,0.32787,0.93874
equal,0.42,2.25,0.20579,0.31076,0.94616
equal,0.42,2.62,0.18685,0.27728,0.92887
equal,0.42,2.62,0.19068,0.27633,0.94616
equal,0.42,2.62,0.18497,0.25968,0.84921
equal,0.42,2.62,0.18829,0.26989,0.93760
equal,0.42,2.62,0.17736,0.24676,0.82944
equal,0.42,3.00,0.17674,0.23883,0.90864
equal,0.42,3.00,0.17401,0.24184,0.82787
equal,0.42,3.00,0.18059,0.24584,0.77106
equal,0.42,3.00,0.17946,0.25916,0.87966
equal,0.42,3.00,0.17500,0.25752,0.84182
equal,0.47,1.50,0.23147,0.35780,0.97617
equal,0.47,1.50,0.27952,0.42027,0.99734
equal,0.47,1.50,0.26247,0.39156,0.99726
equal,0.47,1.50,0.28234,0.43239,0.99728
equal,0.47,1.50,0.28005,0.42146,0.99734
equal,0.47,1.88,0.24174,0.36023,0.95997
equal,0.47,1.88,0.24290,0.35966,0.98557
equal,0.47,1.88,0.26275,0.39336,0.98606
equal,0.47,1.88,0.26789,0.40724,0.98598
equal,0.47,1.88,0.23695,0.35626,0.97381
equal,0.47,2.25,0.21935,0.31707,0.97933
equal,0.47,2.25,0.21595,0.32340,0.96057
equal,0.47,2.25,0.22362,0.33523,0.94861
equal,0.47,2.25,0.23119,0.36528,0.97270
equal,0.47,2.25,0.20413,0.30201,0.96546
equal,0.47,2.62,0.18916,0.28153,0.84921
equal,0.47,2.62,0.20223,0.31113,0.91614
equal,0.47,2.62,0.19837,0.29182,0.93919
equal,0.47,2.62,0.18970,0.27751,0.90613
equal,0.47,2.62,0.19864,0.30667,0.89116
equal,0.47,3.00,0.19565,0.30350,0.87075
equal,0.47,3.00,0.18065,0.26914,0.83700
equal,0.47,3.00,0.19037,0.27994,0.94440
equal,0.47,3.00,0.18576,0.27424,0.87596
equal,0.47,3.00,0.18305,0.26343,0.85359
equal,0.53,1.50,0.26685,0.42446,0.98625
equal,0.53,1.50,0.29171,0.43638,0.99733
equal,0.53,1.50,0.28528,0.42665,0.99722
equal,0.53,1.50,0.25994,0.38904,0.98625
equal,0.53,1.50,0.23599,0.37028,0.95929
equal,0.53,1.88,0.24942,0.38408,0.98553
equal,0.53,1.88,0.27167,0.41253,0.99717
equal,0.53,1.88,0.22982,0.36182,0.98545
equal,0.53,1.88,0.24441,0.36458,0.99706
equal,0.53,1.88,0.26387,0.40544,0.99711
equal,0.53,2.25,0.21494,0.33342,0.94565
equal,0.53,2.25,0.22347,0.36560,0.89701
equal,0.53,2.25,0.22710,0.35298,0.98450
equal,0.53,2.25,0.21313,0.33340,0.93555
equal,0.53,2.25,0.22710,0.35280,0.93977
equal,0.53,2.62,0.20660,0.31989,0.90208
equal,0.53,2.62,0.20233,0.29648,0.89329
equal,0.53,2.62,0.20888,0.31277,0.91333
equal,0.53,2.62,0.20337,0.31899,0.93065
equal,0.53,2.62,0.19128,0.28826,0.83044
equal,0.53,3.00,0.19399,0.28787,0.86739
equal,0.53,3.00,0.18265,0.25544,0.81600
equal,0.53,3.00,0.19049,0.29199,0.89404
equal,0.53,3.00,0.19819,0.30778,0.89833
equal,0.53,3.00,0.17591,0.26204,0.66716
equal,0.58,1.50,0.29317,0.46622,0.98640
equal,0.58,1.50,0.29448,0.44977,0.99724
equal,0.58,1.50,0.29178,0.45090,0.99726
equal,0.58,1.50,0.30984,0.46811,0.98640
equal,0.58,1.50,0.27230,0.41472,0.99723
equal,0.58,1.88,0.26324,0.41071,0.99706
equal,0.58,1.88,0.28941,0.45599,0.99706
equal,0.58,1.88,0.26134,0.40560,0.96261
equal,0.58,1.88,0.25331,0.39524,0.98566
equal,0.58,1.88,0.29107,0.45657,0.99712
equal,0.58,2.25,0.22660,0.34807,0.94015
equal,0.58,2.25,0.24359,0.38502,0.95883
equal,0.58,2.25,0.23166,0.36410,0.97202
equal,0.58,2.25,0.23247,0.35890,0.98385
equal,0.58,2.25,0.23758,0.38316,0.95909
equal,0.58,2.62,0.20101,0.31001,0.84848
equal,0.58,2.62,0.21322,0.33588,0.91075
equal,0.58,2.62,0.21453,0.33387,0.92396
equal,0.58,2.62,0.22687,0.35769,0.92996
equal,0.58,2.62,0.20811,0.32502,0.86037
equal,0.58,3.00,0.19228,0.29243,0.86158
equal,0.58,3.00,0.20229,0.32886,0.77475
equal,0.58,3.00,0.20114,0.30798,0.85764
equal,0.58,3.00,0.20105,0.30754,0.91471
equal,0.58,3.00,0.19894,0.30872,0.91356
equal,0.63,1.50,0.32418,0.50950,0.99725
equal,0.63,1.50,0.32534,0.50268,0.99728
equal,0.63,1.50,0.28127,0.45441,0.95918
equal,0.63,1.50,0.30083,0.47323,0.98621
equal,0.63,1.50,0.29548,0.46040,0.98594
equal,0.63,1.88,0.26825,0.42215,0.96185
equal,0.63,1.88,0.27257,0.43310,0.96898
equal,0.63,1.88,0.28006,0.44547,0.99688
equal,0.63,1.88,0.26983,0.43071,0.99713
equal,0.63,1.88,0.26746,0.41803,0.98528
equal,0.63,2.25,0.24322,0.37273,0.98431
equal,0.63,2.25,0.23954,0.37886,0.88910
equal,0.63,2.25,0.24591,0.38587,0.96578
equal,0.63,2.25,0.25903,0.41880,0.97122
equal,0.63,2.25,0.25672,0.39974,0.98369
equal,0.63,2.62,0.24184,0.38916,0.94974
equal,0.63,2.62,0.21616,0.35231,0.82427
equal,0.63,2.62,0.21160,0.33183,0.92980
equal,0.63,2.62,0.22509,0.35446,0.96936
equal,0.63,2.62,0.22330,0.37128,0.94708
equal,0.63,3.00,0.20551,0.34622,0.92442
equal,0.63,3.00,0.20616,0.33500,0.87077
equal,0.63,3.00,0.20956,0.32772,0.89720
equal,0.63,3.00,0.20150,0.31028,0.78444
equal,0.63,3.00,0.20993,0.33111,0.78341
equal,0.68,1.50,0.30441,0.48760,0.98629
equal,0.68,1.50,0.32293,0.50693,0.99724
equal,0.68,1.50,0.34255,0.53451,0.99729
equal,0.68,1.50,0.32394,0.50120,0.99734
equal,0.68,1.50,0.32735,0.49930,0.99724
equal,0.68,1.88,0.30841,0.48518,0.97411
equal,0.68,1.88,0.30607,0.46679,0.98562
equal,0.68,1.88,0.29364,0.45592,0.97419
equal,0.68,1.88,0.30769,0.48642,0.98528
equal,0.68,1.88,0.26647,0.41023,0.97327
equal,0.68,2.25,0.27205,0.43135,0.99689
equal,0.68,2.25,0.25425,0.42030,0.95803
equal,0.68,2.25,0.27013,0.43254,0.95959
equal,0.68,2.25,0.25034,0.41189,0.96946
equal,0.68,2.25,0.27548,0.43222,0.94667
equal,0.68,2.62,0.22873,0.37640,0.96759
equal,0.68,2.62,0.23310,0.36571,0.90833
equal,0.68,2.62,0.21463,0.34471,0.91052
equal,0.68,2.62,0.21590,0.35159,0.89368
equal,0.68,2.62,0.22606,0.35937,0.87426
equal,0.68,3.00,0.22444,0.36973,0.89567
equal,0.68,3.00,0.20330,0.31306,0.87617
equal,0.68,3.00,0.22941,0.36256,0.83564
equal,0.68,3.00,0.21455,0.34602,0.83287
equal,0.68,3.00,0.23571,0.37700,0.89258
equal,0.74,1.50,0.34987,0.54424,0.98686
equal,0.74,1.50,0.30513,0.49806,0.97455
equal,0.74,1.50,0.33654,0.53420,0.99725
equal,0.74,1.50,0.32368,0.50700,0.99721
equal,0.74,1.50,0.35000,0.53070,0.98625
equal,0.74,1.88,0.31532,0.48535,0.98562
equal,0.74,1.88,0.29444,0.47451,0.98464
equal,0.74,1.88,0.27697,0.44882,0.97974
equal,0.74,1.88,0.28876,0.46107,0.96196
equal,0.74,1.88,0.29733,0.47246,0.99703
equal,0.74,2.25,0.26568,0.44018,0.95762
equal,0.74,2.25,0.28426,0.45181,0.98369
equal,0.74,2.25,0.26611,0.43465,0.97036
equal,0.74,2.25,0.28154,0.45188,0.96352
equal,0.74,2.25,0.26600,0.44476,0.97027
equal,0.74,2.62,0.24467,0.40469,0.91607
equal,0.74,2.62,0.23832,0.39825,0.91800
equal,0.74,2.62,0.24420,0.40275,0.90488
equal,0.74,2.62,0.23028,0.36526,0.84832
equal,0.74,2.62,0.23186,0.37769,0.89161
equal,0.74,3.00,0.22481,0.37590,0.85208
equal,0.74,3.00,0.21783,0.36663,0.80572
equal,0.74,3.00,0.20913,0.34463,0.89309
equal,0.74,3.00,0.22266,0.36100,0.85821
equal,0.74,3.00,0.22852,0.37799,0.89014
equal,0.79,1.50,0.34821,0.53617,0.99725
equal,0.79,1.50,0.36488,0.56765,0.99732
equal,0.79,1.50,0.37201,0.57289,0.98647
equal,0.79,1.50,0.30464,0.49418,0.98640
equal,0.79,1.50,0.31065,0.51648,0.99704
equal,0.79,1.88,0.30846,0.49741,0.98497
equal,0.79,1.88,0.30063,0.48438,0.99687
equal,0.79,1.88,0.30207,0.48624,0.99704
equal,0.79,1.88,0.33717,0.52447,0.97366
equal,0.79,1.88,0.31636,0.52357,0.99691
equal,0.79,2.25,0.28049,0.46671,0.99652
equal,0.79,2.25,0.26842,0.44349,0.95776
equal,0.79,2.25,0.28425,0.46331,0.99658
equal,0.79,2.25,0.27583,0.44935,0.96399
equal,0.79,2.25,0.29578,0.47129,0.97103
equal,0.79,2.62,0.23897,0.39644,0.89660
equal,0.79,2.62,0.24281,0.38716,0.85225
equal,0.79,2.62,0.24638,0.41594,0.96064
equal,0.79,2.62,0.22789,0.37366,0.96967
equal,0.79,2.62,0.23826,0.39577,0.77634
equal,0.79,3.00,0.23583,0.40462,0.91918
equal,0.79,3.00,0.23948,0.40095,0.96712
equal,0.79,3.00,0.24217,0.40294,0.98005
equal,0.79,3.00,0.23195,0.37372,0.88001
equal,0.79,3.00,0.22135,0.35534,0.88629
equal,0.84,1.50,0.33583,0.53110,0.98617
equal,0.84,1.50,0.36747,0.58092,0.99731
equal,0.84,1.50,0.34728,0.55556,0.98574
equal,0.84,1.50,0.31433,0.51078,0.98602
equal,0.84,1.50,0.34017,0.53346,0.99719
equal,0.84,1.88,0.29583,0.47594,0.98519
equal,0.84,1.88,0.30528,0.48501,0.99689
equal,0.84,1.88,0.33853,0.51938,0.98536
equal,0.84,1.88,0.30353,0.48497,0.97374
equal,0.84,1.88,0.28697,0.46751,0.97295
equal,0.84,2.25,0.28689,0.46781,0.94519
equal,0.84,2.25,0.27336,0.46100,0.93202
equal,0.84,2.25,0.28013,0.46416,0.92778
equal,0.84,2.25,0.27418,0.43992,0.95169
equal,0.84,2.25,0.26316,0.44090,0.96423
equal,0.84,2.62,0.24981,0.41691,0.90805
equal,0.84,2.62,0.24178,0.39920,0.91635
equal,0.84,2.62,0.25816,0.43669,0.95450
equal,0.84,2.62,0.26084,0.41609,0.95513
equal,0.84,2.62,0.25246,0.41112,0.90066
equal,0.84,3.00,0.22862,0.38638,0.95234
equal,0.84,3.00,0.22137,0.36245,0.85001
equal,0.84,3.00,0.22151,0.37535,0.79348
equal,0.84,3.00,0.23333,0.39464,0.91856
equal,0.84,3.00,0.24082,0.41491,0.85508
equal,0.89,1.50,0.38737,0.59461,0.99731
equal,0.89,1.50,0.31382,0.50297,0.97374
equal,0.89,1.50,0.34677,0.55519,0.98662
equal,0.89,1.50,0.35983,0.55659,0.98048
equal,0.89,1.50,0.33361,0.55477,0.99722
equal,0.89,1.88,0.33514,0.53979,0.98506
equal,0.89,1.88,0.34451,0.54971,0.98523
equal,0.89,1.88,0.32000,0.50827,0.97335
equal,0.89,1.88,0.29566,0.47172,0.96283
equal,0.89,1.88,0.30387,0.49399,0.97122
equal,0.89,2.25,0.29192,0.47646,0.95024
equal,0.89,2.25,0.29459,0.47922,0.95663
equal,0.89,2.25,0.28444,0.47620,0.94467
equal,0.89,2.25,0.29604,0.48195,0.98359
equal,0.89,2.25,0.26645,0.44778,0.93351
equal,0.89,2.62,0.27028,0.43768,0.90141
equal,0.89,2.62,0.25944,0.42901,0.94154
equal,0.89,2.62,0.26667,0.44310,0.94871
equal,0.89,2.62,0.25458,0.42905,0.92469
equal,0.89,2.62,0.25823,0.43004,0.99598
equal,0.89,3.00,0.23864,0.39886,0.90783
equal,0.89,3.00,0.24618,0.40361,0.94082
equal,0.89,3.00,0.24654,0.39476,0.84926
equal,0.89,3.00,0.25521,0.43060,0.92080
equal,0.89,3.00,0.23969,0.39171,0.89806
equal,0.95,1.50,0.38976,0.59753,0.98658
equal,0.95,1.50,0.43095,0.62668,0.99735
equal,0.95,1.50,0.32889,0.52491,0.99722
equal,0.95,1.50,0.36836,0.56719,0.99732
equal,0.95,1.50,0.34345,0.55188,0.99721
equal,0.95,1.88,0.31646,0.49462,0.95405
equal,0.95,1.88,0.32783,0.51518,0.96272
equal,0.95,1.88,0.34568,0.55938,0.98464
equal,0.95,1.88,0.35816,0.55159,0.98523
equal,0.95,1.88,0.32006,0.52196,0.96834
equal,0.95,2.25,0.31160,0.50989,0.95628
equal,0.95,2.25,0.29467,0.47970,0.93780
equal,0.95,2.25,0.28247,0.46268,0.96265
equal,0.95,2.25,0.29290,0.46766,0.94599
equal,0.95,2.25,0.28161,0.46532,0.94411
equal,0.95,2.62,0.27729,0.45969,0.96022
